X,Y,Z,SIGNAL_STRENGTH
-168,54,155,167
-138,45,116,167
-134,44,94,98
-128,42,84,175
-125,41,76,175
-129,42,73,183
-130,42,68,175
-124,40,60,175
-129,42,57,175
-125,41,51,175
-122,40,45,175
-130,42,43,167
-125,41,37,183
-124,40,32,175
-125,40,28,175
-128,42,24,175
-123,40,19,183
-129,42,16,175
-127,41,11,175
-126,41,7,175
-127,41,3,175
-123,40,-1,175
-125,41,-5,175
-126,41,-9,175
-129,42,-14,175
-1735,564,-8968,35
46,-15,-27,50
60,-20,-32,159
54,-17,-26,159
54,-17,-23,159
58,-19,-23,159
59,-19,-20,167
51,-17,-16,159
58,-19,-12,84
56,-18,-6,84
58,-19,-1,98
37,-12,220,175
30,-10,221,175
25,-8,221,183
19,-6,222,183
14,-4,218,175
8,-3,217,175
3,-1,218,183
-3,1,211,183
-9,3,217,183
-15,5,220,175
-21,7,220,183
-27,9,220,183
-31,10,210,175
-42,14,228,175
-46,15,221,183
-52,17,216,175
-59,19,215,183
-66,21,214,167
-73,24,213,167
-81,26,216,175
-87,28,211,183
-98,32,219,167
-104,34,214,167
-112,36,214,175
-124,40,218,175
-130,42,213,167
-137,45,211,159
-146,48,210,159
-163,53,218,167
-184,60,209,98
-188,61,176,84
-140,45,119,159
-140,45,99,84
-130,42,85,175
-133,43,83,175
-133,43,76,167
-135,44,72,175
-126,41,63,183
-134,44,62,183
-136,44,57,175
-130,42,50,175
-128,42,44,159
-126,41,39,183
-130,42,36,175
-128,42,31,183
-132,43,27,175
-126,41,22,175
-127,41,18,175
-133,43,15,183
-130,42,11,183
-126,41,7,175
-131,43,3,183
-125,40,-1,183
-124,40,-5,183
-128,42,-10,183
-132,43,-13,183
41,-13,-24,45
53,-17,-29,159
55,-18,-24,98
58,-19,-19,98
60,-20,-14,98
58,-19,-8,84
65,-21,-3,98
50,-16,-1,167
61,-20,205,183
54,-18,206,175
49,-16,212,175
41,-13,208,175
38,-12,217,175
31,-10,217,175
26,-9,227,175
18,-6,222,175
12,-4,225,167
7,-2,236,183
1,0,239,183
-5,2,227,175
-13,4,238,167
-20,6,236,175
-28,9,242,167
-36,12,248,167
-45,15,251,159
-55,18,254,159
-66,21,262,159
-94,31,268,98
-112,36,251,84
-86,28,148,70
-87,28,139,159
-91,30,137,175
-90,29,126,175
-95,31,125,183
-96,31,118,175
-99,32,114,167
-101,33,110,175
-100,32,101,175
-102,33,99,175
-108,35,98,175
