X,Y,Z,SIGNAL_STRENGTH
-204,0,6,183
-212,0,-1,183
-228,0,-11,175
-234,0,-48,70
-178,0,-45,159
-153,0,-46,167
-120,0,-41,175
4762,0,-4431,30
158,0,-40,70
169,0,-37,191
170,0,-30,191
170,0,-24,191
171,0,-17,191
170,0,-11,191
171,0,-4,191
-53,0,230,191
-62,0,231,191
-70,0,230,191
-78,0,226,191
-87,0,226,191
-99,0,231,191
-110,0,232,191
-120,0,229,175
-131,0,228,191
-143,0,229,183
-154,0,228,183
-168,0,229,183
-182,0,230,183
-195,0,228,183
-229,0,218,112
-256,0,224,167
-276,0,222,175
-306,0,197,98
-292,0,165,167
-314,0,161,183
-318,0,125,98
-315,0,108,159
-314,0,93,167
-311,0,78,175
-205,0,44,191
-213,0,37,191
-206,0,28,183
-220,0,21,183
-213,0,12,191
-208,0,2,183
-212,0,-6,183
-215,0,-15,175
-228,0,-54,70
-141,0,-48,98
160,0,-41,70
165,0,-36,191
167,0,-30,191
165,0,-23,191
165,0,-17,191
169,0,-11,191
171,0,-4,191
171,0,2,191
165,0,7,191
164,0,14,191
167,0,20,191
166,0,27,183
171,0,59,35
163,0,167,84
159,0,175,183
160,0,190,183
166,0,214,183
166,0,231,175
155,0,234,183
141,0,231,183
128,0,229,191
117,0,230,191
107,0,231,183
98,0,234,183
87,0,232,191
76,0,229,191
67,0,229,183
58,0,231,191
49,0,230,191
39,0,228,191
31,0,228,191
22,0,226,191
15,0,231,191
5,0,227,191
-3,0,228,191
-11,0,229,191
-19,0,229,191
-27,0,227,191
-37,0,230,191
-45,0,228,191
-55,0,232,191
-64,0,228,191
-71,0,227,191
-80,0,227,191
-91,0,231,191
-99,0,227,191
-111,0,231,183
-122,0,231,191
-132,0,228,183
-144,0,228,183
-157,0,228,183
-168,0,227,191
-181,0,225,191
-195,0,226,183
-231,0,217,98
-256,0,220,167
-280,0,220,175
-307,0,221,167
-316,0,178,98
-313,0,159,183
-313,0,122,98
-315,0,111,175
-316,0,96,175
-313,0,81,183
-209,0,44,167
-210,0,37,183
-209,0,29,183
-218,0,21,191
-216,0,13,191
-204,0,4,167
-219,0,-4,191
-222,0,-13,183
-231,0,-54,65
-138,0,-48,98
154,0,-40,70
166,0,-37,191
168,0,-32,191
169,0,-25,199
165,0,-19,191
166,0,-13,191
166,0,-7,191
173,0,-2,191
166,0,4,191
166,0,10,191
172,0,16,191
165,0,22,183
169,0,29,183
170,0,46,159
162,0,159,45
164,0,172,191
145,0,166,183
165,0,202,183
166,0,221,183
159,0,229,191
146,0,229,191
137,0,234,191
122,0,226,191
113,0,230,191
103,0,229,191
95,0,233,191
85,0,231,191
75,0,228,191
66,0,230,191
58,0,229,191
49,0,230,191
40,0,230,191
32,0,231,191
23,0,226,191
15,0,228,191
6,0,231,191
-2,0,229,191
-10,0,227,191
-18,0,230,191
-26,0,225,199
-34,0,227,191
-44,0,228,191
-52,0,229,191
-61,0,227,191
-70,0,227,191
-79,0,225,191
-90,0,230,191
-100,0,228,183
-112,0,232,191
-122,0,230,191
-132,0,228,183
-144,0,228,191
-155,0,226,191
-166,0,224,183
-183,0,228,191
-195,0,224,191
-228,0,214,98
-258,0,223,167
-282,0,219,167
-313,0,223,175
-315,0,175,98
-306,0,153,175
-318,0,123,98
-315,0,109,175
-312,0,92,167
-309,0,77,175
-204,0,43,175
-217,0,37,183
-206,0,28,191
-213,0,20,183
-214,0,12,183
-212,0,4,183
-219,0,-4,191
-225,0,-14,175
-223,0,-53,70
-138,0,-49,98
163,0,-42,84
165,0,-37,191
168,0,-31,191
169,0,-25,191
166,0,-19,199
167,0,-12,191
172,0,-6,191
-149,0,-50,84
7167,0,-3200,30
163,0,-42,70
166,0,-36,191
166,0,-30,191
165,0,-24,191
168,0,-18,199
167,0,-12,191
171,0,-6,191
-55,1,169,84
-46,1,117,183
166,-3,2,191
166,-3,7,183
166,-3,14,183
171,-3,21,183
166,-3,27,183
172,-3,38,159
165,-3,159,183
162,-3,171,183
150,-3,172,175
164,-3,203,183
168,-3,228,175
156,-3,231,175
142,-2,232,183
129,-2,229,183
119,-2,230,183
109,-2,233,183
97,-2,231,191
87,-2,229,183
78,-1,232,183
68,-1,229,183
60,-1,235,191
50,-1,234,183
40,-1,230,191
31,-1,228,191
22,0,226,183
13,0,228,183
5,0,230,183
-4,0,225,191
-13,0,232,191
-21,0,227,183
-30,1,230,183
-38,1,228,191
-47,1,227,191
-55,1,225,191
-65,1,229,191
-73,1,227,191
-84,1,231,183
-93,2,233,191
-102,2,231,191
-111,2,228,183
-121,2,227,191
-134,2,229,183
-145,3,227,183
-157,3,227,175
-169,3,226,183
-184,3,228,175
-198,3,228,183
-233,4,214,98
-262,5,221,175
-289,5,220,159
-311,5,213,175
-317,6,202,183
-313,5,151,98
-319,6,138,175
-317,6,121,167
-316,6,106,183
-315,6,90,167
-300,5,72,159
-209,4,42,183
-214,4,33,183
-210,4,25,183
-221,4,18,183
-206,4,8,183
-215,4,-1,183
-228,4,-11,183
-234,4,-50,70
-183,3,-47,167
-150,3,-47,159
-121,2,-42,183
151,-3,-38,70
165,-3,-36,191
170,-3,-31,191
168,-3,-24,191
