X,Y,Z,SIGNAL_STRENGTH
-191,0,65,167
-188,0,57,159
-189,0,51,167
-191,0,45,175
-187,0,38,167
-197,0,14,40
-69,0,-23,45
5554,0,-5802,25
217,0,-39,50
202,0,-15,70
191,0,3,98
189,0,18,98
188,0,25,167
186,0,41,98
190,0,61,84
185,0,85,70
215,0,134,40
281,0,231,55
223,0,236,65
174,0,231,70
141,0,233,84
107,0,239,70
76,0,229,70
64,0,225,159
55,0,221,159
36,0,221,98
19,0,226,98
-4,0,232,84
-13,0,235,159
-34,0,230,84
-42,0,221,167
-50,0,224,167
-77,0,228,70
-107,0,223,70
-135,0,216,70
-180,0,219,55
-204,0,191,50
-161,0,116,50
-138,0,75,35
-76,0,30,65
-194,0,68,167
-188,0,59,159
-194,0,55,175
-195,0,48,159
-188,0,40,167
-203,0,37,159
124,0,-36,55
228,0,-35,35
204,0,-12,84
195,0,5,84
192,0,13,159
193,0,29,98
197,0,36,159
201,0,45,159
199,0,64,84
189,0,89,50
281,0,236,55
222,0,240,70
172,0,233,70
142,0,237,84
112,0,237,84
83,0,238,70
55,0,232,84
46,0,231,167
39,0,238,159
16,0,232,84
-5,0,230,84
-27,0,230,84
-46,0,227,98
-54,0,229,175
-81,0,231,70
-105,0,226,84
-133,0,220,70
-172,0,216,60
-209,0,200,65
-163,0,121,65
-172,0,98,45
-68,0,28,40
-195,0,62,84
-198,0,55,167
-197,0,48,167
-189,0,41,167
-199,0,36,175
-91,0,-31,35
203,0,-7,70
200,0,1,159
204,0,8,167
200,0,15,159
198,0,33,84
201,0,55,70
197,0,76,70
421,0,230,35
294,0,213,45
255,0,241,60
195,0,236,70
153,0,229,70
125,0,233,84
96,0,231,70
74,0,235,84
50,0,231,84
42,0,228,159
21,0,233,84
0,0,230,98
-7,0,229,159
-28,0,233,84
-46,0,225,98
-54,0,228,167
-65,0,232,159
-86,0,226,84
-116,0,224,70
-153,0,220,65
-196,0,214,65
-191,0,162,70
-179,0,117,55
-69,0,34,70
-174,0,58,45
-196,0,49,98
-200,0,43,159
-197,0,35,159
-81,0,-17,50
-61,0,-21,35
198,0,-51,40
194,0,-1,70
207,0,20,70
201,0,27,159
204,0,55,65
205,0,80,70
454,0,247,55
295,0,213,50
252,0,238,55
192,0,231,70
159,0,236,84
123,0,225,84
97,0,230,84
87,0,229,159
77,0,227,159
56,0,227,98
49,0,238,167
27,0,228,84
19,0,228,159
