X,Y,Z,SIGNAL_STRENGTH
-40,162,-187,60
-27,107,-146,70
-23,91,-137,98
-21,84,-132,175
-20,82,-136,175
-18,72,-125,175
-18,71,-131,175
-17,67,-130,167
-17,68,-136,175
-16,63,-135,183
-15,61,-138,175
-14,57,-137,175
-13,51,-129,159
-12,47,-127,175
-12,46,-135,175
-11,44,-134,191
-9,38,-125,175
-9,37,-133,175
-8,34,-130,167
-8,31,-131,167
-7,30,-140,167
-7,27,-136,175
-6,23,-133,175
-5,20,-132,175
-4,18,-137,175
-4,14,-130,183
-3,12,-135,167
-2,10,-137,175
-2,7,-135,175
-1,4,-136,175
0,1,-134,167
0,-2,-134,175
1,-4,-131,175
2,-7,-135,175
2,-9,-131,175
5,-19,-126,175
0,0,-1,50
0,0,-1,25
0,0,-1,30
0,0,-1,25
0,-1,-1,30
0,-1,-1,25
864,-3465,-3847,25
0,-1,-1,30
0,-1,-1,30
0,-1,-1,25
0,-1,0,20
0,-1,0,35
0,-1,0,25
0,-1,0,25
0,-1,0,30
0,-1,0,30
0,-1,0,35
0,-1,0,25
1940,-7780,1468,30
0,-1,0,30
0,-1,0,40
0,-1,0,30
0,-1,0,30
0,-1,1,25
0,-1,1,25
0,-1,1,20
0,-1,1,30
0,-1,1,35
0,0,1,45
5,-18,39,40
6,-23,57,84
5,-20,62,84
4,-16,61,84
4,-15,60,159
3,-13,61,159
3,-13,64,167
2,-9,54,159
2,-9,56,167
2,-8,60,167
2,-7,63,159
1,-6,68,159
1,-4,62,159
1,-3,62,159
0,-1,59,167
0,0,67,167
-17,70,59,84
-19,75,60,159
-20,79,60,159
-21,84,56,98
-21,86,55,167
-24,95,58,159
-26,105,61,167
-49,198,101,84
-52,210,101,167
-53,214,98,175
-53,213,91,167
-52,208,84,167
-54,219,83,175
-52,210,74,159
-53,213,70,175
-53,214,66,167
-54,217,62,175
-52,209,54,167
-53,214,51,159
-54,216,46,175
-55,221,42,175
-53,214,36,183
-53,211,31,175
-53,213,27,183
-54,216,22,175
-53,212,17,175
-54,216,13,175
-53,214,8,183
-52,209,3,175
-53,214,-1,175
-52,207,-6,175
-52,210,-11,175
-54,216,-15,175
-52,210,-20,175
-53,214,-25,159
-54,217,-30,175
-53,212,-34,167
-51,203,-37,175
-52,208,-42,175
-52,209,-48,175
-54,217,-54,183
-53,213,-66,98
-54,216,-72,183
-54,217,-77,167
-52,208,-79,167
-52,209,-84,167
-53,211,-91,167
-51,203,-93,175
-51,205,-100,159
-52,208,-107,167
-53,214,-116,159
-52,208,-128,98
-51,206,-134,159
-51,203,-149,98
-52,210,-174,84
-51,204,-191,84
-47,187,-199,84
-29,115,-146,60
-24,95,-141,70
-22,90,-140,167
-22,87,-142,167
-20,79,-135,175
-19,76,-136,167
-18,72,-135,175
-18,71,-141,183
-16,64,-132,183
-16,64,-138,175
-14,58,-133,175
-13,54,-131,175
-12,50,-129,175
-12,46,-127,167
-11,45,-131,167
-10,38,-133,98
-9,35,-131,175
-8,33,-134,175
-7,29,-131,175
-7,27,-136,175
-6,25,-137,183
-5,21,-130,175
-5,19,-135,175
-4,16,-132,175
-2,9,-128,112
-2,7,-132,175
-1,4,-131,175
0,1,-128,175
0,-1,-127,175
1,-4,-130,175
2,-6,-132,175
2,-9,-127,175
5,-20,-130,40
