X,Y,Z,SIGNAL_STRENGTH
76,0,-41,40
105,0,-52,183
119,0,-55,167
124,0,-52,183
129,0,-49,183
147,0,-52,183
161,0,-51,175
185,0,-52,159
213,0,-53,167
202,0,-24,60
154,0,-4,84
159,0,13,70
384,0,337,55
274,0,311,30
166,0,332,40
121,0,351,50
-658,0,262,50
-51,0,-14,45
100,0,-50,40
116,0,-53,175
135,0,-56,175
138,0,-53,175
150,0,-53,183
164,0,-52,175
198,0,-55,159
223,0,-54,159
158,0,-23,84
152,0,-11,98
150,0,-4,167
146,0,1,175
167,0,20,70
194,0,49,35
344,0,326,40
293,0,360,35
226,0,364,30
156,0,339,40
108,0,341,55
-629,0,426,40
-711,0,361,60
-680,0,244,55
109,0,-50,70
121,0,-51,175
139,0,-54,183
148,0,-52,183
168,0,-53,167
213,0,-48,98
153,0,-20,84
157,0,-8,98
152,0,6,84
166,0,24,70
345,0,336,30
290,0,365,30
204,0,339,40
163,0,372,40
105,0,354,45
-636,0,416,50
-677,0,328,50
-672,0,224,50
-67,0,-13,45
205,0,-160,30
110,0,-51,70
131,0,-55,175
137,0,-53,183
148,0,-53,175
169,0,-54,175
191,0,-54,167
208,0,-51,175
159,0,-23,84
161,0,-17,159
155,0,-12,167
149,0,-7,167
160,0,8,84
178,0,32,65
314,0,328,55
268,0,365,30
196,0,355,35
133,0,337,55
84,0,334,60
-678,0,395,60
-669,0,282,50
-673,0,188,30
-65,0,-16,35
4261,0,-3096,25
112,0,-52,112
124,0,-53,175
131,0,-52,183
150,0,-54,191
158,0,-51,183
189,0,-55,167
211,0,-54,175
168,0,-25,70
155,0,-18,167
157,0,-13,175
147,0,-7,159
159,0,8,84
181,0,33,65
133,0,348,60
-662,0,388,60
-687,0,291,45
-651,0,185,35
-57,0,-14,40
3201,0,-2895,30
113,0,-54,175
117,0,-52,175
131,0,-53,175
145,0,-55,183
152,0,-53,183
169,0,-52,175
193,0,-53,167
227,0,-53,159
158,0,-21,84
154,0,-16,159
155,0,-11,175
149,0,-6,175
159,-3,10,84
181,-3,34,60
245,-4,350,60
198,-3,375,30
131,-2,352,55
-663,12,384,55
-693,12,291,45
-79,1,-20,40
94,-2,-47,35
112,-2,-53,175
125,-2,-55,183
130,-2,-52,175
141,-2,-52,183
163,-3,-55,175
185,-3,-55,175
200,-3,-53,167
187,-3,-28,70
151,-3,-18,167
148,-3,-12,175
154,-3,-8,167
155,-3,7,84
176,-3,27,70
305,-5,312,35
219,-4,385,30
140,-2,345,55
89,-2,338,50
-565,10,593,35
-668,12,420,50
-695,12,321,50
-691,12,216,30
-60,1,-12,50
117,-2,-53,98
130,-2,-55,183
138,-2,-53,183
148,-3,-52,183
174,-3,-55,183
194,-3,-54,167
184,-3,-30,70
158,-3,-20,167
146,-3,-14,175
149,-3,-9,167
154,-3,-3,175
144,-3,2,159
173,-3,24,70
1589,-28,904,55
483,-8,365,45
221,-4,364,30
151,-3,340,35
105,-2,352,65
-2901,51,4241,30
-705,12,356,50
-687,12,243,40
-626,11,133,50
113,-2,-53,70
129,-2,-55,175
138,-2,-53,175
149,-3,-53,175
169,-3,-53,175
193,-3,-54,159
221,-4,-54,159
155,-3,-21,84
163,-3,-17,167
152,-3,-11,159
150,-3,-7,175
154,-3,11,70
182,-3,38,50
560,-10,369,35
306,-5,337,35
250,-4,358,40
188,-3,362,55
129,-2,351,50
76,-1,336,35
-678,12,384,65
-686,12,280,40
-58,1,-15,50
110,-2,-58,45
111,-2,-54,175
118,-2,-53,175
125,-2,-51,175
143,-2,-54,183
154,-3,-53,175
177,-3,-54,159
205,-4,-55,159
212,-4,-47,159
154,-3,-20,98
151,-3,-8,98
153,-3,7,84
184,-3,32,65
542,-9,335,45
143,-3,349,55
99,-2,368,35
-78,1,194,30
-652,11,402,45
-689,12,312,40
-653,11,199,35
-72,1,-16,40
110,-2,-50,84
127,-2,-54,175
142,-2,-54,183
148,-3,-52,175
168,-3,-53,175
205,-4,-41,70
155,-3,-26,183
153,-3,-13,98
148,-3,0,98
166,-3,21,70
466,-8,340,35
367,-6,345,55
154,-3,338,40
108,-2,341,35
-124,2,182,30
-689,12,347,55
-694,12,243,35
103,-2,-48,70
128,-2,-54,175
134,-2,-52,175
154,-3,-54,175
169,-3,-53,167
194,-3,-55,167
184,-3,-30,70
153,-3,-13,98
151,-3,-8,167
164,-6,11,70
179,-6,35,55
301,-10,325,55
186,-6,347,55
134,-5,353,50
-659,23,396,45
-696,24,303,45
-36,1,-8,50
112,-4,-51,98
126,-4,-53,175
134,-5,-52,183
149,-5,-53,183
172,-6,-55,175
192,-7,-54,159
187,-7,-31,70
156,-5,-13,98
151,-5,0,98
171,-6,22,70
288,-10,350,60
209,-7,335,55
162,-6,354,40
107,-4,345,60
-635,22,430,35
-696,24,352,50
-699,24,245,45
-48,2,-8,35
111,-4,-52,70
120,-4,-52,175
137,-5,-55,191
148,-5,-54,175
160,-6,-54,183
173,-6,-52,167
203,-7,-53,167
175,-6,-27,70
150,-5,-19,159
152,-5,-14,159
147,-5,-8,167
159,-6,2,159
166,-6,21,70
198,-7,52,30
348,-12,332,30
151,-5,331,40
111,-4,354,65
-826,29,939,25
-626,22,430,55
-693,24,357,45
-695,24,252,50
109,-4,-51,70
126,-4,-54,175
135,-5,-52,175
146,-5,-52,175
170,-6,-54,175
180,-6,-51,167
183,-6,-31,70
153,-5,-21,167
155,-5,-9,98
161,-6,-3,159
161,-6,15,70
173,-6,23,183
1051,-37,771,35
358,-13,343,55
208,-7,340,30
162,-6,359,30
105,-4,338,50
-701,24,1042,35
-610,21,417,65
-685,24,350,45
-680,24,246,45
-72,3,-21,45
98,-3,-47,55
119,-4,-54,183
129,-4,-53,167
142,-5,-53,175
145,-5,-50,183
174,-6,-53,175
192,-7,-51,159
173,-6,-26,70
161,-6,-19,167
153,-5,-12,159
149,-5,-7,159
150,-5,1,84
169,-6,20,70
195,-7,49,40
268,-9,329,50
163,-6,356,45
-1057,37,952,25
-684,24,357,55
-683,24,254,45
-68,2,-20,40
106,-4,-49,70
125,-4,-53,183
131,-5,-52,175
150,-5,-54,175
162,-6,-53,191
179,-6,-52,167
211,-7,-53,159
164,-6,-23,70
156,-5,-16,167
157,-5,-11,159
150,-5,-5,175
148,-5,0,175
156,-5,6,167
174,-6,27,70
543,-19,326,30
330,-12,336,35
276,-10,363,30
218,-8,374,55
-797,28,1439,30
-661,23,408,60
-685,24,309,45
-64,2,-14,40
-172,6,-60,50
108,-4,-49,84
127,-4,-54,183
140,-5,-55,175
151,-5,-55,175
158,-6,-52,175
181,-6,-53,183
192,-7,-34,70
154,-5,-14,98
147,-5,-8,159
159,-8,9,70
180,-9,33,55
301,-16,318,35
240,-13,327,40
185,-10,332,50
