X,Y,Z,SIGNAL_STRENGTH
111,0,-56,50
123,0,-56,175
136,0,-55,183
150,0,-53,167
185,0,-55,167
240,0,-29,50
192,0,11,45
476,0,110,55
472,0,197,70
450,0,285,45
271,0,346,35
193,0,362,40
118,0,352,55
-3908,0,6668,30
-431,0,507,65
-454,0,377,50
-420,0,240,45
-258,0,92,60
-421,0,-4,60
-416,0,-77,60
-185,0,-67,70
102,0,-51,45
118,0,-53,183
134,0,-53,167
159,0,-56,167
178,0,-53,159
232,0,-27,50
212,0,12,45
474,0,112,60
467,0,197,70
462,0,293,40
264,0,339,30
187,0,347,50
-431,0,504,40
-448,0,369,40
-413,0,233,45
-271,0,96,50
-425,0,-2,55
-419,0,-74,55
-191,0,-67,70
106,0,-51,65
124,0,-53,175
139,0,-54,183
171,0,-57,159
224,0,-34,65
189,0,3,50
468,0,91,45
469,0,170,70
464,0,266,50
311,0,366,45
208,0,350,30
127,0,329,40
-415,0,524,50
-452,0,404,40
-420,0,260,45
-336,0,134,40
-416,0,15,40
-420,0,-53,70
-234,0,-73,45
5529,0,-5676,25
109,0,-53,55
121,0,-53,175
134,0,-52,167
157,0,-53,167
194,0,-55,167
229,0,-24,45
180,0,11,45
473,0,113,55
478,0,205,70
453,0,294,35
386,0,353,30
184,0,351,35
-439,0,495,35
-458,0,364,45
-413,0,227,50
-222,0,75,55
-416,0,-10,60
-413,0,-83,60
110,0,-51,98
129,0,-54,167
144,0,-53,159
162,0,-52,159
236,0,-33,55
191,-3,5,45
471,-8,96,40
468,-8,179,70
463,-8,273,50
443,-8,374,40
289,-5,346,50
117,-2,318,25
-422,7,519,55
-452,8,396,40
-415,7,252,45
-266,5,103,55
-425,7,9,45
-420,7,-55,70
-230,4,-72,40
106,-2,-52,55
123,-2,-53,183
140,-2,-54,175
182,-3,-47,98
229,-4,-19,40
195,-3,1,159
462,-8,80,60
470,-8,160,70
470,-8,256,55
450,-8,356,30
215,-4,343,40
139,-2,340,45
-612,11,1221,30
-460,8,439,40
-418,7,282,40
-404,7,35,65
-419,7,-38,55
-334,6,-90,55
104,-2,-56,45
115,-2,-56,167
129,-2,-56,183
157,-3,-49,98
232,-4,-30,55
188,-3,8,50
472,-8,101,50
469,-8,185,70
455,-8,279,45
416,-7,367,40
194,-3,352,40
-427,7,491,40
-451,8,371,45
-418,7,239,45
-239,4,86,50
-323,6,56,50
-423,7,-2,50
-413,7,-75,50
110,-2,-54,55
119,-2,-52,175
138,-2,-54,159
154,-3,-53,175
177,-3,-53,167
230,-4,-26,45
192,-3,8,45
484,-8,105,40
469,-8,190,65
471,-8,294,40
428,-7,384,40
190,-3,348,40
-429,7,512,35
-448,8,376,40
-415,7,241,40
-253,4,93,55
-283,5,52,60
-416,7,5,50
-418,7,-69,55
-198,3,-70,55
106,-2,-52,50
124,-2,-54,167
136,-2,-52,167
156,-3,-53,175
187,-3,-53,167
237,-4,-24,40
195,-3,3,50
463,-8,87,65
471,-8,174,65
453,-8,264,55
444,-8,373,35
1701,-30,8856,30
-423,7,540,45
-451,8,410,35
-422,7,271,40
-402,7,172,35
-399,7,25,65
-417,7,-48,60
-250,4,-72,65
108,-2,-60,30
109,-2,-54,175
114,-2,-51,175
139,-2,-55,175
159,-3,-54,159
185,-3,-54,167
229,-4,-27,45
189,-7,10,45
470,-16,110,50
471,-16,200,55
464,-16,301,35
404,-14,376,35
-9,0,255,20
-439,15,493,35
-450,16,360,45
-410,14,227,50
-220,8,76,65
-292,10,46,55
-420,15,-9,60
-416,15,-82,45
89,-3,-48,45
117,-4,-57,175
127,-4,-56,175
139,-5,-53,159
162,-6,-54,175
194,-7,-56,175
246,-9,-28,45
195,-7,5,50
489,-17,98,45
473,-17,185,60
461,-16,277,45
285,-10,348,35
-3204,112,9244,25
-407,14,510,55
-443,15,391,40
-417,15,256,40
-355,12,140,40
-410,14,13,40
-419,15,-60,65
-214,7,-70,50
110,-4,-53,84
126,-4,-54,175
146,-5,-55,167
161,-6,-53,183
226,-8,-34,60
476,-17,155,70
469,-16,248,50
458,-16,356,40
317,-11,345,40
-393,14,538,40
-451,16,433,40
-423,15,283,45
-400,14,29,65
-422,15,-43,55
-280,10,-79,50
97,-3,-50,65
114,-4,-53,167
130,-5,-54,167
150,-5,-55,159
167,-6,-53,183
231,-8,-33,55
192,-7,11,35
469,-16,111,50
474,-17,204,65
464,-16,304,35
68,-2,220,30
-442,15,480,40
-456,16,348,45
-410,14,212,50
-228,8,72,55
-389,14,52,60
-408,14,-17,45
-410,14,-90,45
92,-3,-48,70
109,-4,-51,175
125,-4,-53,175
145,-5,-54,159
171,-6,-54,175
231,-8,-31,55
197,-7,2,45
463,-16,87,65
467,-16,177,60
475,-17,279,45
431,-15,367,30
-301,10,877,25
-408,14,515,55
-457,16,413,35
-401,14,253,40
-393,14,18,40
-425,15,-56,50
-233,8,-72,35
5304,-185,-3945,30
99,-3,-50,45
120,-4,-54,167
128,-4,-51,167
154,-5,-54,167
179,-6,-53,167
228,-8,-27,45
184,-10,2,55
480,-25,91,65
464,-24,174,70
464,-24,274,50
429,-22,367,35
-419,22,522,45
-441,23,387,40
-404,21,245,40
-419,22,8,50
-427,22,-26,159
-391,20,-92,35
4163,-218,-3008,25
103,-5,-50,55
123,-6,-53,167
155,-8,-50,98
217,-11,-30,50
193,-10,1,50
464,-24,84,60
475,-25,172,65
456,-24,260,50
453,-24,370,35
307,-16,356,40
1330,-70,6932,35
-410,21,529,40
-456,24,417,65
-397,21,256,35
-405,21,23,35
-429,22,-45,70
-279,15,-79,70
94,-5,-49,35
112,-6,-53,167
127,-7,-53,175
151,-8,-55,167
201,-11,-42,70
191,-10,-7,45
197,-10,8,40
464,-24,101,50
467,-24,193,60
455,-24,289,40
-965,51,2502,30
-439,23,509,70
-456,24,377,40
-408,21,231,45
-223,12,79,55
-422,22,-2,65
-420,22,-76,55
-194,10,-70,70
1093,-57,-894,25
109,-6,-55,175
119,-6,-55,175
135,-7,-55,167
154,-8,-55,167
177,-9,-54,159
236,-12,-28,40
193,-10,1,159
483,-25,87,65
471,-25,171,65
462,-24,261,50
448,-23,366,35
6,0,304,35
-409,21,517,45
-446,23,401,40
-417,22,265,40
-399,21,21,35
-422,22,-42,70
-315,17,-87,55
112,-6,-52,98
133,-7,-55,167
146,-8,-53,175
178,-9,-56,159
229,-12,-32,50
187,-10,13,35
475,-25,115,50
470,-25,204,55
462,-24,305,65
396,-21,375,55
848,-44,2789,30
-438,23,485,35
-460,24,358,40
-407,21,220,35
-212,11,72,50
-415,22,-8,55
-416,22,-81,45
115,-6,-51,98
135,-7,-53,159
151,-8,-52,159
219,-11,-34,50
189,-13,9,40
474,-33,107,50
468,-33,196,70
453,-32,292,40
403,-28,374,55
-436,31,509,55
-442,31,367,40
-420,29,238,40
-230,16,83,50
-420,29,4,55
