X,Y,Z,SIGNAL_STRENGTH
112,0,-56,70
116,0,-54,175
122,0,-52,175
146,0,-57,167
156,0,-56,183
168,0,-54,175
192,0,-54,167
310,0,-46,70
372,0,-43,167
378,0,-31,175
383,0,-20,167
346,0,12,98
379,0,25,175
381,0,38,183
384,0,49,175
381,0,62,175
392,0,115,45
390,0,171,40
358,0,214,55
372,0,263,98
375,0,285,167
379,0,309,159
373,0,327,175
358,0,392,70
282,0,402,50
205,0,394,40
133,0,355,35
-66,0,226,30
-396,0,499,45
-404,0,393,45
-404,0,305,55
-386,0,238,84
-379,0,216,167
-380,0,203,183
-388,0,190,175
-390,0,175,175
-383,0,157,175
-383,0,143,183
-382,0,129,175
-383,0,116,175
-380,0,102,175
-385,0,90,175
-382,0,78,167
-388,0,65,183
-385,0,52,175
-384,0,42,183
-382,0,31,183
-391,0,-18,35
112,0,-51,70
132,0,-56,183
158,0,-52,98
191,0,-56,175
209,0,-53,167
343,0,-43,70
384,0,-36,175
382,0,-24,175
370,0,-9,175
349,0,4,167
362,0,15,167
380,0,28,175
384,0,40,175
378,0,85,70
389,0,141,45
387,0,198,65
354,0,229,84
382,0,264,167
380,0,284,167
380,0,305,159
370,0,359,84
337,0,423,55
224,0,369,35
158,0,358,60
105,0,355,55
-23,0,232,35
-44,0,193,30
-58,0,159,40
-391,0,571,30
-406,0,350,45
-397,0,265,70
-386,0,239,175
-384,0,222,167
-390,0,210,167
-383,0,189,167
-389,0,177,167
-379,0,161,175
-387,0,149,175
-386,0,135,175
-381,0,119,175
-383,0,107,167
-391,0,96,175
-383,0,83,175
-382,0,69,183
-383,0,58,175
-388,0,46,175
-384,0,32,183
-358,0,-15,50
111,0,-51,70
123,0,-52,183
140,0,-54,175
178,0,-52,98
210,0,-54,167
339,0,-42,70
375,0,-35,183
383,0,-24,175
384,0,-12,175
341,0,1,159
363,0,13,175
376,0,25,183
381,0,38,175
383,0,90,65
391,0,147,45
408,0,216,45
352,0,230,84
381,0,270,159
377,0,284,175
379,0,309,175
367,0,361,84
339,0,432,55
218,0,368,40
156,0,359,55
101,0,346,40
-20,0,225,30
-47,0,215,40
-295,0,577,40
-383,0,563,40
-406,0,454,35
-398,0,345,55
-397,0,264,70
-383,0,236,159
-383,0,219,175
-390,0,207,167
-384,0,188,183
-386,0,175,175
-381,0,157,167
-387,0,147,175
-382,0,131,175
-385,0,120,183
-383,0,105,175
-389,0,94,167
-388,0,83,183
-386,0,69,175
-384,0,57,183
-384,0,44,167
-383,0,31,175
-380,0,-16,30
113,0,-53,70
128,0,-55,175
138,0,-54,167
184,0,-51,84
313,0,-45,65
374,0,-42,175
379,0,-31,167
367,0,0,98
366,0,11,175
377,0,24,175
378,0,36,175
380,0,48,167
378,0,61,167
394,0,114,40
410,0,177,35
353,0,211,60
372,0,266,98
380,0,293,167
381,0,317,159
362,0,373,70
321,0,431,40
143,0,349,70
2,0,221,30
-37,0,148,35
-322,0,590,45
-393,0,538,45
-397,0,422,35
-396,0,328,50
-393,0,255,70
-387,0,233,175
-387,0,216,167
-384,0,200,175
-387,0,184,183
-385,0,168,175
-386,0,155,175
-380,0,139,175
-383,0,126,175
-385,0,113,175
-385,0,100,175
-381,0,86,175
-383,0,73,175
-380,0,60,175
-381,0,48,175
-377,0,36,183
-381,0,23,175
112,0,-52,98
125,0,-53,175
137,0,-53,167
164,0,-55,167
181,0,-55,175
199,0,-51,159
332,0,-44,70
376,0,-38,183
377,0,-26,175
378,0,-14,175
346,0,-2,175
358,0,9,167
375,0,22,183
380,0,33,175
382,0,46,175
376,0,60,159
389,0,115,40
395,0,174,40
351,0,213,50
376,0,247,159
377,0,267,167
381,0,288,167
381,0,311,159
377,0,331,159
364,0,398,70
281,0,401,50
193,0,370,35
128,0,348,40
-6,0,170,45
-265,0,596,30
-355,0,588,30
-398,0,504,45
-404,0,395,40
-395,0,300,55
-390,0,240,84
-381,0,218,167
-386,0,206,159
-386,0,189,175
-383,0,173,167
-386,0,162,183
-387,0,147,175
-382,0,132,167
-387,0,121,175
-383,0,106,175
-387,0,94,175
-384,0,81,175
-385,0,68,175
-388,0,55,175
-384,0,42,175
-385,0,30,183
-4172,0,-722,25
108,0,-50,70
127,0,-54,175
141,0,-54,175
159,0,-55,175
175,0,-54,167
227,0,-48,84
370,0,-44,84
383,0,-33,167
379,0,-21,175
370,0,-8,167
348,0,4,175
361,0,15,175
377,0,26,183
381,0,39,183
380,0,51,175
382,0,64,167
396,0,120,40
395,0,178,40
355,0,219,60
376,0,249,175
379,0,295,98
372,0,346,84
351,0,422,60
246,0,390,35
171,0,365,40
113,0,353,60
8,0,168,30
-286,0,575,50
-383,0,572,35
-405,0,462,35
-407,0,359,40
-400,0,272,60
-384,0,243,175
