X,Y,Z,SIGNAL_STRENGTH
42,0,-33,45
42,0,-25,35
61,0,-30,98
63,0,-29,175
62,0,-26,183
58,0,-23,175
61,0,-22,175
67,0,-21,167
66,0,-19,167
67,0,-17,175
63,0,-14,183
58,0,-11,167
56,0,-9,183
61,0,-8,183
61,0,-6,183
63,0,-4,175
61,0,-2,167
59,0,0,175
62,0,2,183
66,0,4,175
55,0,5,175
57,0,7,175
58,0,9,175
63,0,12,183
62,0,14,175
60,0,15,175
56,0,16,175
62,0,20,167
57,0,20,183
62,0,24,183
60,0,25,175
59,0,27,183
60,0,29,175
61,0,32,175
65,0,37,167
61,0,38,183
62,0,41,175
57,0,40,175
58,0,44,175
61,0,49,167
58,0,50,175
63,0,58,167
59,0,58,175
57,0,60,167
54,0,60,159
62,0,74,167
60,0,76,175
58,0,79,167
61,0,89,159
57,0,89,159
57,0,95,183
58,0,104,183
100,0,192,159
108,0,224,167
99,0,224,183
91,0,226,175
80,0,217,183
75,0,221,183
69,0,225,183
61,0,221,183
54,0,217,183
48,0,219,175
42,0,219,191
35,0,220,183
29,0,218,183
23,0,220,183
16,0,218,175
10,0,219,183
4,0,220,191
-2,0,216,183
-10,0,225,183
-15,0,217,183
-21,0,218,183
-26,0,213,191
-33,0,218,183
-40,0,221,183
-46,0,220,183
-53,0,221,175
-61,0,222,183
-67,0,221,175
-75,0,223,175
-79,0,213,183
-92,0,227,175
-95,0,220,175
-104,0,220,167
-110,0,213,175
-121,0,219,167
-132,0,221,167
-138,0,215,175
-147,0,213,167
-158,0,215,167
-174,0,221,159
-183,0,218,159
-195,0,218,167
-198,0,209,167
-198,0,195,167
-195,0,181,175
-200,0,174,175
-180,0,145,175
-136,0,92,98
-133,0,85,175
-134,0,80,175
-121,0,67,175
-91,0,47,167
-96,0,45,175
-87,0,32,98
-103,0,27,84
-135,0,31,167
-141,0,29,183
-130,0,22,183
-109,0,15,175
-106,0,11,167
-111,0,3,98
-108,0,-1,175
-102,0,-4,175
-106,0,-10,167
45,0,-24,40
64,0,-32,175
63,0,-30,175
64,0,-28,175
61,0,-24,175
62,0,-22,175
63,0,-20,175
65,0,-19,183
66,0,-17,183
61,0,-14,167
68,0,-13,167
66,0,-11,183
60,0,-8,175
62,0,-6,167
66,0,-4,175
63,0,-2,183
62,0,0,167
4291,0,-4882,30
54,0,-28,70
60,0,-28,175
64,0,-28,167
60,0,-24,183
60,0,-22,175
63,0,-20,175
61,0,-18,175
61,0,-16,167
58,0,-13,175
66,0,-13,167
67,0,-11,167
60,0,-8,183
66,0,-7,175
63,0,-5,183
65,0,-3,175
65,0,-1,175
22,0,112,35
-1966,0,2915,35
99,0,254,159
77,0,250,98
53,0,207,159
29,0,163,98
23,0,156,183
17,0,149,167
3,0,98,98
-1,0,100,175
-4,0,99,183
-7,0,100,167
-9,0,92,167
-13,0,99,183
-17,0,99,175
-18,0,91,175
-21,0,91,175
-25,0,96,175
-25,0,84,175
-28,0,85,167
-32,0,86,183
-30,0,79,167
-35,0,84,175
-37,0,81,175
-41,0,81,175
-43,0,50,40
-3639,0,1819,35
-1865,0,-153,50
95,0,215,175
87,0,218,175
80,0,220,159
76,0,230,183
70,0,239,175
62,0,240,175
55,0,246,167
47,0,244,159
41,0,260,175
34,0,267,159
26,0,277,167
17,0,283,159
9,0,286,175
-1,0,280,159
-10,0,271,175
-18,0,263,175
-26,0,261,167
-32,0,146,70
-31,0,98,84
-34,0,96,175
-35,0,90,175
-38,0,88,175
-43,0,94,183
-40,0,82,175
-45,0,85,167
-47,0,82,175
-51,0,82,183
-47,0,71,183
-52,0,72,167
-51,0,67,175
-56,0,69,183
-50,0,58,167
-60,0,65,175
-59,0,63,175
-59,0,59,175
-60,0,56,167
-59,0,51,159
-16,0,8,40
38,0,-43,175
40,0,-42,175
40,0,-40,175
61,-1,0,175
62,-1,2,183
65,-1,4,175
59,-1,6,167
62,-1,8,175
64,-1,11,167
54,-1,11,167
61,-1,14,167
53,-1,14,175
58,-1,18,167
55,-1,18,175
56,-1,20,183
58,-1,23,175
53,-1,23,175
60,-1,28,175
60,-1,31,167
56,-1,31,175
57,-1,34,175
60,-1,38,167
64,-1,44,167
57,-1,42,167
62,-1,49,175
63,-1,53,175
60,-1,53,167
58,-1,55,159
61,-1,62,175
55,-1,60,167
57,-1,67,167
62,-1,77,167
57,-1,76,175
57,-1,80,183
61,-1,91,175
59,-1,94,183
58,-1,100,167
81,-1,152,159
110,-2,223,159
103,-2,228,167
93,-2,225,183
83,-1,221,175
77,-1,227,167
68,-1,221,183
62,-1,227,175
54,-1,223,175
36,-1,223,98
29,-1,219,183
22,0,216,183
16,0,216,175
9,0,221,167
3,0,221,183
-3,0,221,191
-9,0,220,175
-16,0,218,175
-23,0,214,191
-29,1,218,183
-36,1,218,175
-42,1,223,175
-48,1,216,175
-56,1,220,191
-61,1,216,183
-68,1,218,175
-76,1,220,175
-84,1,222,183
-103,2,217,98
-112,2,218,175
-118,2,212,167
-131,2,220,175
-139,2,216,175
-148,3,214,167
-161,3,218,159
-185,3,213,98
-193,3,209,159
-202,4,187,98
-194,3,169,167
-169,3,133,167
-132,2,87,84
-105,2,55,70
-93,2,39,98
-94,2,37,175
-95,2,34,175
-93,2,30,159
-91,2,26,183
-97,2,25,183
-94,2,20,167
-91,2,17,175
-87,2,13,175
-78,1,10,175
-83,1,7,175
-85,1,5,167
-88,2,2,175
-80,1,0,175
-82,1,-3,167
-84,1,-6,167
-46,1,-16,40
15,0,-8,60
60,-1,-32,167
60,-1,-29,159
58,-1,-26,167
59,-1,-24,167
65,-1,-24,175
62,-1,-21,167
57,-1,-17,175
58,-1,-15,175
63,-1,-15,167
59,-1,-12,175
59,-1,-10,175
61,-1,-9,175
60,-1,-7,167
62,-1,-5,167
59,-1,-3,175
63,-1,-1,167
-50,1,50,55
-54,1,50,175
-45,1,39,167
-54,1,44,175
-52,1,40,175
-52,1,37,167
-52,1,35,175
-53,1,33,159
-61,1,35,175
-52,1,28,167
-59,1,29,183
-57,1,26,167
-62,1,26,183
-55,1,21,167
-60,1,21,175
66,-1,1,175
69,-1,3,167
63,-1,4,167
65,-1,7,183
62,-1,8,183
61,-1,10,167
58,-1,12,175
60,-1,14,175
55,-1,14,183
65,-1,19,175
59,-1,20,175
60,-1,22,175
56,-1,22,175
58,-1,25,175
57,-1,27,175
57,-1,29,167
60,-1,33,183
57,-1,34,167
62,-1,40,167
54,-1,37,167
63,-1,46,167
60,-1,47,175
57,-1,47,167
60,-1,54,159
58,-1,55,159
58,-1,59,167
64,-1,69,159
64,-1,74,159
56,-1,76,98
59,-1,85,167
60,-1,93,159
58,-1,96,175
59,-1,106,183
100,-2,214,98
97,-2,225,175
88,-2,224,183
78,-1,219,175
71,-1,217,175
65,-1,225,159
58,-1,225,175
48,-1,218,175
43,-1,220,183
37,-1,221,167
30,-1,222,183
23,0,217,191
17,0,214,175
10,0,218,175
4,0,214,183
-1,0,216,183
-7,0,217,183
-14,0,218,191
-20,0,218,183
-26,0,216,183
-31,1,213,183
-38,1,216,183
-45,1,217,183
-51,1,218,183
-59,1,220,191
-64,1,218,175
-71,1,219,183
-78,1,216,183
-96,2,213,98
-106,2,218,159
-114,2,215,167
-123,2,215,175
-128,2,209,175
-141,2,215,167
-148,3,210,167
-163,3,216,167
-172,3,214,159
-181,3,211,175
-197,3,213,159
-200,3,186,98
-191,3,166,167
-170,3,135,167
-103,2,64,70
-97,2,56,167
-98,2,54,175
-98,2,50,183
-97,2,45,167
-94,2,40,175
-92,2,36,175
-95,2,34,183
-100,2,32,167
-100,2,29,183
-103,2,26,175
-94,2,17,98
-95,2,14,175
-91,2,10,167
-98,2,8,167
-95,2,5,175
-93,2,2,167
-90,2,-1,159
-94,2,-4,175
-73,1,-11,159
-78,1,-22,40
57,-1,-28,70
58,-1,-26,175
60,-1,-25,175
63,-1,-24,175
60,-1,-21,167
58,-1,-18,175
63,-1,-17,175
59,-1,-14,167
64,-1,-13,167
57,-1,-10,175
58,-1,-9,175
55,-1,-7,175
64,-1,-5,175
67,-1,-4,183
67,-1,-2,175
